dt,PCP,POP,PTY,REH,SKY,SNO,TMN,TMP,TMX,UUU,VEC,VVV,WAV,WSD
2025-08-30 12:00:00+09:00,,60.0,4.0,90.0,3.0,,,27.0,,2.5,236.0,1.7,-999.0,3.0
2025-08-30 13:00:00+09:00,,0.0,0.0,85.0,1.0,,,28.0,,3.1,240.0,1.8,-999.0,3.6
2025-08-30 14:00:00+09:00,,20.0,0.0,85.0,3.0,,,28.0,,3.2,242.0,1.7,-999.0,3.6
2025-08-30 15:00:00+09:00,,20.0,0.0,85.0,3.0,,,28.0,31.0,3.6,250.0,1.3,-999.0,3.8
2025-08-30 16:00:00+09:00,,20.0,0.0,80.0,3.0,,,28.0,,3.3,244.0,1.6,-999.0,3.7
2025-08-30 17:00:00+09:00,,20.0,0.0,80.0,3.0,,,27.0,,3.3,247.0,1.4,-999.0,3.6
2025-08-30 18:00:00+09:00,,0.0,0.0,85.0,1.0,,,27.0,,2.7,250.0,1.0,-999.0,2.9
2025-08-30 19:00:00+09:00,,0.0,0.0,90.0,1.0,,,25.0,,1.6,259.0,0.3,-999.0,1.6
2025-08-30 20:00:00+09:00,,20.0,0.0,95.0,3.0,,,25.0,,0.8,270.0,0.0,-999.0,0.8
2025-08-30 21:00:00+09:00,,20.0,0.0,95.0,3.0,,,24.0,,0.5,281.0,-0.1,-999.0,0.5
2025-08-30 22:00:00+09:00,,30.0,0.0,100.0,4.0,,,24.0,,0.4,233.0,0.3,-999.0,0.5
2025-08-30 23:00:00+09:00,,30.0,0.0,95.0,4.0,,,24.0,,0.3,203.0,0.7,-999.0,0.8
2025-08-31 00:00:00+09:00,,30.0,0.0,100.0,4.0,,,23.0,,0.0,180.0,0.8,-999.0,0.8
2025-08-31 01:00:00+09:00,,30.0,0.0,100.0,4.0,,,23.0,,0.0,174.0,0.9,-999.0,0.9
2025-08-31 02:00:00+09:00,,30.0,0.0,100.0,4.0,,,23.0,,-0.1,166.0,0.8,-999.0,0.8
2025-08-31 03:00:00+09:00,,30.0,0.0,100.0,4.0,,,24.0,,-0.5,139.0,0.7,-999.0,0.9
2025-08-31 04:00:00+09:00,,30.0,0.0,100.0,4.0,,,24.0,,-0.8,141.0,1.1,-999.0,1.4
2025-08-31 05:00:00+09:00,,30.0,0.0,100.0,4.0,,,24.0,,-0.7,150.0,1.4,-999.0,1.6
2025-08-31 06:00:00+09:00,,30.0,0.0,100.0,4.0,,24.0,24.0,,-0.7,150.0,1.4,-999.0,1.6
2025-08-31 07:00:00+09:00,,30.0,0.0,95.0,4.0,,,24.0,,-0.3,167.0,1.7,-999.0,1.7
2025-08-31 08:00:00+09:00,,30.0,0.0,95.0,4.0,,,25.0,,0.0,178.0,2.5,-999.0,2.5
2025-08-31 09:00:00+09:00,,30.0,0.0,90.0,4.0,,,26.0,,0.1,182.0,2.8,-999.0,2.8
2025-08-31 10:00:00+09:00,,30.0,0.0,85.0,4.0,,,27.0,,0.5,190.0,2.9,-999.0,2.9
2025-08-31 11:00:00+09:00,,30.0,0.0,80.0,4.0,,,29.0,,1.5,207.0,3.0,-999.0,3.4
2025-08-31 12:00:00+09:00,,60.0,4.0,75.0,4.0,,,29.0,,2.3,219.0,2.8,-999.0,3.6
2025-08-31 13:00:00+09:00,,30.0,0.0,75.0,4.0,,,29.0,,2.8,226.0,2.7,-999.0,3.9
2025-08-31 14:00:00+09:00,,60.0,4.0,80.0,4.0,,,29.0,,3.0,227.0,2.8,-999.0,4.1
2025-08-31 15:00:00+09:00,,20.0,0.0,80.0,3.0,,,29.0,31.0,3.5,233.0,2.6,-999.0,4.4
2025-08-31 16:00:00+09:00,,60.0,4.0,80.0,3.0,,,29.0,,3.0,238.0,1.9,-999.0,3.6
2025-08-31 17:00:00+09:00,,20.0,0.0,80.0,3.0,,,28.0,,1.8,241.0,1.0,-999.0,2.1
2025-08-31 18:00:00+09:00,,60.0,4.0,85.0,3.0,,,27.0,,0.5,209.0,0.9,-999.0,1.0
2025-08-31 19:00:00+09:00,,0.0,0.0,90.0,1.0,,,25.0,,-0.1,167.0,0.9,-999.0,0.9
2025-08-31 20:00:00+09:00,,60.0,1.0,90.0,4.0,,,25.0,,0.0,174.0,1.0,-999.0,1.0
2025-08-31 21:00:00+09:00,,60.0,1.0,90.0,4.0,,,25.0,,0.0,176.0,1.3,-999.0,1.3
2025-08-31 22:00:00+09:00,,60.0,1.0,95.0,4.0,,,24.0,,0.4,196.0,1.4,-999.0,1.5
2025-08-31 23:00:00+09:00,,60.0,1.0,95.0,4.0,,,24.0,,0.4,195.0,1.5,-999.0,1.6
2025-09-01 00:00:00+09:00,,60.0,1.0,95.0,4.0,,,24.0,,0.1,184.0,1.5,-999.0,1.5
2025-09-01 01:00:00+09:00,,60.0,1.0,95.0,4.0,,,24.0,,0.0,180.0,2.0,-999.0,2.0
2025-09-01 02:00:00+09:00,,60.0,1.0,95.0,4.0,,,24.0,,0.2,186.0,1.9,-999.0,1.9
2025-09-01 03:00:00+09:00,,60.0,1.0,95.0,4.0,,,24.0,,0.3,190.0,1.7,-999.0,1.7
2025-09-01 04:00:00+09:00,,60.0,1.0,95.0,4.0,,,24.0,,0.3,189.0,2.0,-999.0,2.0
2025-09-01 05:00:00+09:00,,60.0,1.0,95.0,4.0,,,24.0,,0.0,180.0,2.1,-999.0,2.1
