dt,PCP,POP,PTY,REH,SKY,SNO,TMN,TMP,TMX,UUU,VEC,VVV,WAV,WSD
2025-09-02 15:00:00+09:00,,0.0,0.0,50.0,1.0,,,30.0,,0.4,348.0,-1.9,-999.0,1.9
2025-09-02 16:00:00+09:00,,0.0,0.0,50.0,1.0,,,30.0,,0.0,3.0,-2.0,-999.0,2.0
2025-09-02 17:00:00+09:00,,0.0,0.0,55.0,1.0,,,29.0,,-0.6,22.0,-1.7,-999.0,1.8
2025-09-02 18:00:00+09:00,,0.0,0.0,60.0,1.0,,,28.0,,-0.6,28.0,-1.3,-999.0,1.5
2025-09-02 19:00:00+09:00,,0.0,0.0,70.0,1.0,,,26.0,,-0.4,24.0,-1.1,-999.0,1.2
2025-09-02 20:00:00+09:00,,0.0,0.0,80.0,1.0,,,24.0,,-0.7,39.0,-1.0,-999.0,1.3
2025-09-02 21:00:00+09:00,,0.0,0.0,85.0,1.0,,,23.0,,-1.2,73.0,-0.4,-999.0,1.4
2025-09-02 22:00:00+09:00,,0.0,0.0,85.0,1.0,,,23.0,,-1.8,72.0,-0.6,-999.0,2.0
2025-09-02 23:00:00+09:00,,0.0,0.0,85.0,1.0,,,22.0,,-2.1,77.0,-0.5,-999.0,2.3
2025-09-03 00:00:00+09:00,,0.0,0.0,90.0,1.0,,,22.0,,-2.3,81.0,-0.4,-999.0,2.4
2025-09-03 01:00:00+09:00,,0.0,0.0,90.0,1.0,,,22.0,,-1.7,93.0,0.1,-999.0,1.8
2025-09-03 02:00:00+09:00,,0.0,0.0,90.0,1.0,,,21.0,,-1.6,100.0,0.3,-999.0,1.7
2025-09-03 03:00:00+09:00,,0.0,0.0,90.0,1.0,,,22.0,,-1.6,97.0,0.2,-999.0,1.7
2025-09-03 04:00:00+09:00,,0.0,0.0,90.0,1.0,,,22.0,,-1.1,72.0,-0.4,-999.0,1.3
2025-09-03 05:00:00+09:00,,0.0,0.0,95.0,1.0,,,22.0,,-1.1,67.0,-0.5,-999.0,1.3
2025-09-03 06:00:00+09:00,,0.0,0.0,95.0,1.0,,22.0,22.0,,-1.2,69.0,-0.5,-999.0,1.4
2025-09-03 07:00:00+09:00,,0.0,0.0,90.0,1.0,,,22.0,,-1.7,84.0,-0.2,-999.0,1.8
