dt,PCP,POP,PTY,REH,SKY,SNO,TMN,TMP,TMX,UUU,VEC,VVV,WAV,WSD
2025-08-31 12:00:00+09:00,,60.0,4.0,60.0,4.0,,,31.0,,1.7,212.0,2.7,-999.0,3.2
2025-08-31 13:00:00+09:00,,60.0,4.0,60.0,4.0,,,31.0,,2.2,221.0,2.5,-999.0,3.3
2025-08-31 14:00:00+09:00,,60.0,4.0,60.0,4.0,,,31.0,,2.4,222.0,2.7,-999.0,3.6
2025-08-31 15:00:00+09:00,,60.0,4.0,60.0,4.0,,,31.0,32.0,3.1,232.0,2.4,-999.0,3.9
2025-08-31 16:00:00+09:00,,60.0,4.0,60.0,4.0,,,31.0,,3.8,239.0,2.3,-999.0,4.4
2025-08-31 17:00:00+09:00,,60.0,4.0,60.0,3.0,,,31.0,,2.6,240.0,1.5,-999.0,3.0
2025-08-31 18:00:00+09:00,,60.0,4.0,60.0,3.0,,,30.0,,1.2,230.0,1.0,-999.0,1.6
2025-08-31 19:00:00+09:00,,20.0,0.0,65.0,3.0,,,29.0,,0.1,187.0,0.8,-999.0,0.8
2025-08-31 20:00:00+09:00,,60.0,1.0,70.0,4.0,,,28.0,,-0.1,162.0,0.6,-999.0,0.6
2025-08-31 21:00:00+09:00,,60.0,1.0,70.0,4.0,,,28.0,,-0.3,153.0,0.8,-999.0,0.9
2025-08-31 22:00:00+09:00,,60.0,1.0,75.0,4.0,,,27.0,,0.0,180.0,1.0,-999.0,1.0
2025-08-31 23:00:00+09:00,,60.0,1.0,80.0,4.0,,,27.0,,0.4,197.0,1.3,-999.0,1.4
2025-09-01 00:00:00+09:00,,60.0,1.0,80.0,4.0,,,27.0,,0.2,190.0,1.1,-999.0,1.1
2025-09-01 01:00:00+09:00,,60.0,1.0,85.0,4.0,,,26.0,,-0.7,148.0,1.3,-999.0,1.5
2025-09-01 02:00:00+09:00,,60.0,1.0,85.0,4.0,,,26.0,,-0.2,168.0,1.4,-999.0,1.4
2025-09-01 03:00:00+09:00,,60.0,1.0,90.0,4.0,,,26.0,,0.0,180.0,1.3,-999.0,1.3
2025-09-01 04:00:00+09:00,,60.0,1.0,90.0,4.0,,,25.0,,0.1,184.0,1.6,-999.0,1.6
2025-09-01 05:00:00+09:00,,60.0,1.0,90.0,4.0,,,25.0,,0.0,180.0,1.6,-999.0,1.6
2025-09-01 06:00:00+09:00,,60.0,1.0,90.0,4.0,,25.0,25.0,,-0.4,166.0,2.0,-999.0,2.1
2025-09-01 07:00:00+09:00,,60.0,1.0,85.0,4.0,,,25.0,,0.1,182.0,2.5,-999.0,2.5
2025-09-01 08:00:00+09:00,,60.0,1.0,85.0,4.0,,,26.0,,-0.1,176.0,2.7,-999.0,2.7
2025-09-01 09:00:00+09:00,,60.0,1.0,85.0,4.0,,,26.0,,-0.1,176.0,3.2,-999.0,3.2
2025-09-01 10:00:00+09:00,,60.0,1.0,80.0,4.0,,,26.0,,0.2,184.0,3.1,-999.0,3.1
2025-09-01 11:00:00+09:00,,60.0,1.0,75.0,4.0,,,28.0,,1.6,207.0,3.1,-999.0,3.5
2025-09-01 12:00:00+09:00,,60.0,1.0,70.0,4.0,,,28.0,,1.1,199.0,3.2,-999.0,3.4
2025-09-01 13:00:00+09:00,,60.0,1.0,70.0,4.0,,,28.0,,2.3,212.0,3.7,-999.0,4.4
2025-09-01 14:00:00+09:00,,60.0,1.0,65.0,4.0,,,28.0,,2.2,229.0,1.9,-999.0,2.9
2025-09-01 15:00:00+09:00,,30.0,0.0,70.0,4.0,,,28.0,30.0,1.6,219.0,2.0,-999.0,2.6
2025-09-01 16:00:00+09:00,,30.0,0.0,70.0,4.0,,,28.0,,1.6,215.0,2.3,-999.0,2.8
2025-09-01 17:00:00+09:00,,30.0,0.0,60.0,4.0,,,28.0,,1.9,222.0,2.1,-999.0,2.8
2025-09-01 18:00:00+09:00,,30.0,0.0,65.0,4.0,,,27.0,,1.8,243.0,0.9,-999.0,2.0
2025-09-01 19:00:00+09:00,,30.0,0.0,65.0,4.0,,,27.0,,1.4,254.0,0.4,-999.0,1.5
2025-09-01 20:00:00+09:00,,30.0,0.0,75.0,4.0,,,26.0,,0.9,252.0,0.3,-999.0,0.9
2025-09-01 21:00:00+09:00,,30.0,0.0,80.0,4.0,,,26.0,,0.5,231.0,0.4,-999.0,0.6
2025-09-01 22:00:00+09:00,,30.0,0.0,85.0,4.0,,,25.0,,0.0,180.0,0.7,-999.0,0.7
2025-09-01 23:00:00+09:00,,30.0,0.0,85.0,4.0,,,24.0,,0.0,174.0,0.9,-999.0,0.9
2025-09-02 00:00:00+09:00,,30.0,0.0,90.0,4.0,,,24.0,,0.0,174.0,0.9,-999.0,0.9
2025-09-02 01:00:00+09:00,,30.0,0.0,90.0,4.0,,,23.0,,0.0,180.0,0.7,-999.0,0.7
2025-09-02 02:00:00+09:00,,20.0,0.0,95.0,3.0,,,23.0,,0.0,172.0,0.7,-999.0,0.7
2025-09-02 03:00:00+09:00,,20.0,0.0,95.0,3.0,,,23.0,,-0.2,135.0,0.3,-999.0,0.4
2025-09-02 04:00:00+09:00,,20.0,0.0,95.0,3.0,,,22.0,,-0.5,99.0,0.1,-999.0,0.6
