dt,PCP,POP,PTY,REH,SKY,SNO,TMN,TMP,TMX,UUU,VEC,VVV,WAV,WSD
2025-08-30 09:00:00+09:00,,60.0,4.0,85.0,4.0,,,27.0,,1.5,220.0,1.8,-999.0,2.3
2025-08-30 10:00:00+09:00,,30.0,0.0,85.0,4.0,,,28.0,,1.4,221.0,1.6,-999.0,2.1
2025-08-30 11:00:00+09:00,,20.0,0.0,85.0,3.0,,,28.0,,2.1,231.0,1.7,-999.0,2.7
2025-08-30 12:00:00+09:00,,20.0,0.0,80.0,3.0,,,29.0,,2.9,240.0,1.7,-999.0,3.4
2025-08-30 13:00:00+09:00,,20.0,0.0,80.0,3.0,,,30.0,,3.0,239.0,1.8,-999.0,3.5
2025-08-30 14:00:00+09:00,,20.0,0.0,75.0,3.0,,,30.0,,3.2,239.0,1.9,-999.0,3.7
2025-08-30 15:00:00+09:00,,20.0,0.0,75.0,3.0,,,30.0,31.0,3.6,247.0,1.5,-999.0,3.9
2025-08-30 16:00:00+09:00,,20.0,0.0,70.0,3.0,,,31.0,,3.1,247.0,1.3,-999.0,3.4
2025-08-30 17:00:00+09:00,,20.0,0.0,75.0,3.0,,,30.0,,3.0,248.0,1.2,-999.0,3.2
2025-08-30 18:00:00+09:00,,0.0,0.0,75.0,1.0,,,30.0,,2.7,252.0,0.9,-999.0,2.8
2025-08-30 19:00:00+09:00,,0.0,0.0,85.0,1.0,,,29.0,,2.0,261.0,0.3,-999.0,2.0
2025-08-30 20:00:00+09:00,,20.0,0.0,85.0,3.0,,,28.0,,1.3,270.0,0.0,-999.0,1.3
2025-08-30 21:00:00+09:00,,20.0,0.0,90.0,3.0,,,28.0,,0.6,288.0,-0.2,-999.0,0.6
2025-08-30 22:00:00+09:00,,30.0,0.0,95.0,4.0,,,27.0,,0.4,297.0,-0.2,-999.0,0.4
2025-08-30 23:00:00+09:00,,30.0,0.0,90.0,4.0,,,27.0,,0.5,248.0,0.2,-999.0,0.5
2025-08-31 00:00:00+09:00,,30.0,0.0,90.0,4.0,,,26.0,,0.3,211.0,0.5,-999.0,0.6
2025-08-31 01:00:00+09:00,,30.0,0.0,95.0,4.0,,,26.0,,0.1,189.0,0.6,-999.0,0.6
2025-08-31 02:00:00+09:00,,30.0,0.0,95.0,4.0,,,26.0,,0.0,180.0,0.5,-999.0,0.5
