dt,PCP,POP,PTY,REH,SKY,SNO,TMN,TMP,TMX,UUU,VEC,VVV,WAV,WSD
2025-09-02 15:00:00+09:00,,0.0,0.0,45.0,1.0,,,31.0,,-1.4,72.0,-0.5,-999.0,1.6
2025-09-02 16:00:00+09:00,,0.0,0.0,45.0,1.0,,,31.0,,-1.8,78.0,-0.4,-999.0,1.9
2025-09-02 17:00:00+09:00,,0.0,0.0,50.0,1.0,,,31.0,,-1.9,79.0,-0.4,-999.0,2.0
2025-09-02 18:00:00+09:00,,0.0,0.0,55.0,1.0,,,30.0,,-1.6,93.0,0.1,-999.0,1.7
2025-09-02 19:00:00+09:00,,0.0,0.0,60.0,1.0,,,28.0,,-1.1,85.0,-0.1,-999.0,1.2
2025-09-02 20:00:00+09:00,,0.0,0.0,70.0,1.0,,,27.0,,-0.9,79.0,-0.2,-999.0,1.0
2025-09-02 21:00:00+09:00,,0.0,0.0,75.0,1.0,,,26.0,,-1.3,67.0,-0.6,-999.0,1.5
2025-09-02 22:00:00+09:00,,0.0,0.0,80.0,1.0,,,25.0,,-1.9,66.0,-0.9,-999.0,2.2
2025-09-02 23:00:00+09:00,,0.0,0.0,85.0,1.0,,,24.0,,-2.2,73.0,-0.7,-999.0,2.4
2025-09-03 00:00:00+09:00,,0.0,0.0,85.0,1.0,,,24.0,,-2.3,78.0,-0.5,-999.0,2.5
2025-09-03 01:00:00+09:00,,0.0,0.0,90.0,1.0,,,23.0,,-1.4,94.0,0.1,-999.0,1.5
2025-09-03 02:00:00+09:00,,0.0,0.0,90.0,1.0,,,23.0,,-1.4,98.0,0.2,-999.0,1.5
2025-09-03 03:00:00+09:00,,0.0,0.0,90.0,1.0,,,23.0,,-1.4,90.0,0.0,-999.0,1.5
2025-09-03 04:00:00+09:00,,0.0,0.0,90.0,1.0,,,22.0,,-1.1,72.0,-0.4,-999.0,1.3
2025-09-03 05:00:00+09:00,,0.0,0.0,90.0,1.0,,,22.0,,-1.1,67.0,-0.5,-999.0,1.3
2025-09-03 06:00:00+09:00,,0.0,0.0,90.0,1.0,,22.0,22.0,,-1.2,73.0,-0.4,-999.0,1.4
2025-09-03 07:00:00+09:00,,0.0,0.0,90.0,1.0,,,23.0,,-1.7,87.0,-0.1,-999.0,1.8
2025-09-03 08:00:00+09:00,,0.0,0.0,80.0,1.0,,,24.0,,-2.1,85.0,-0.2,-999.0,2.2
2025-09-03 09:00:00+09:00,,0.0,0.0,75.0,1.0,,,26.0,,-2.4,88.0,-0.1,-999.0,2.5
2025-09-03 10:00:00+09:00,,20.0,0.0,65.0,3.0,,,28.0,,-2.5,99.0,0.4,-999.0,2.6
2025-09-03 11:00:00+09:00,,20.0,0.0,60.0,3.0,,,29.0,,-2.5,99.0,0.4,-999.0,2.6
2025-09-03 12:00:00+09:00,,20.0,0.0,55.0,3.0,,,30.0,,-2.7,98.0,0.4,-999.0,2.8
2025-09-03 13:00:00+09:00,,20.0,0.0,50.0,3.0,,,31.0,,-3.0,104.0,0.8,-999.0,3.2
2025-09-03 14:00:00+09:00,,20.0,0.0,45.0,3.0,,,31.0,,-3.0,108.0,1.0,-999.0,3.3
2025-09-03 15:00:00+09:00,,20.0,0.0,45.0,3.0,,,31.0,32.0,-2.7,110.0,1.0,-999.0,3.0
2025-09-03 16:00:00+09:00,,0.0,0.0,50.0,1.0,,,31.0,,-2.8,105.0,0.8,-999.0,3.0
2025-09-03 17:00:00+09:00,,0.0,0.0,55.0,1.0,,,31.0,,-2.6,103.0,0.6,-999.0,2.8
2025-09-03 18:00:00+09:00,,20.0,0.0,60.0,3.0,,,29.0,,-1.7,93.0,0.1,-999.0,1.8
2025-09-03 19:00:00+09:00,,20.0,0.0,65.0,3.0,,,28.0,,-1.3,94.0,0.1,-999.0,1.4
2025-09-03 20:00:00+09:00,,20.0,0.0,70.0,3.0,,,28.0,,-1.1,104.0,0.3,-999.0,1.2
2025-09-03 21:00:00+09:00,,30.0,0.0,70.0,4.0,,,27.0,,-0.9,101.0,0.2,-999.0,1.0
2025-09-03 22:00:00+09:00,,30.0,0.0,75.0,4.0,,,26.0,,-1.3,102.0,0.3,-999.0,1.4
2025-09-03 23:00:00+09:00,,30.0,0.0,80.0,4.0,,,26.0,,-1.5,122.0,1.0,-999.0,1.9
2025-09-04 00:00:00+09:00,,30.0,0.0,85.0,4.0,,,25.0,,-1.2,125.0,0.9,-999.0,1.6
2025-09-04 01:00:00+09:00,,30.0,0.0,85.0,4.0,,,24.0,,-1.6,83.0,-0.2,-999.0,1.7
2025-09-04 02:00:00+09:00,,30.0,0.0,85.0,4.0,,,24.0,,-1.6,80.0,-0.3,-999.0,1.7
2025-09-04 03:00:00+09:00,,60.0,1.0,85.0,4.0,,,24.0,,-1.1,67.0,-0.5,-999.0,1.3
2025-09-04 04:00:00+09:00,,60.0,1.0,85.0,4.0,,,24.0,,-1.3,70.0,-0.5,-999.0,1.5
2025-09-04 05:00:00+09:00,,60.0,1.0,90.0,4.0,,,23.0,,-1.4,79.0,-0.3,-999.0,1.5
2025-09-04 06:00:00+09:00,,60.0,1.0,90.0,4.0,,22.0,22.0,,-1.3,74.0,-0.4,-999.0,1.5
2025-09-04 07:00:00+09:00,,60.0,1.0,85.0,4.0,,,23.0,,-1.4,72.0,-0.5,-999.0,1.6
2025-09-04 08:00:00+09:00,,60.0,1.0,85.0,4.0,,,23.0,,-1.8,75.0,-0.5,-999.0,2.0
2025-09-04 09:00:00+09:00,,60.0,1.0,80.0,4.0,,,24.0,,-1.9,84.0,-0.2,-999.0,2.0
2025-09-04 10:00:00+09:00,,60.0,1.0,80.0,4.0,,,25.0,,-1.7,77.0,-0.4,-999.0,1.8
2025-09-04 11:00:00+09:00,,30.0,0.0,65.0,4.0,,,26.0,,-1.4,56.0,-1.0,-999.0,1.8
2025-09-04 12:00:00+09:00,,30.0,0.0,55.0,4.0,,,28.0,,-1.4,49.0,-1.3,-999.0,2.0
2025-09-04 13:00:00+09:00,,30.0,0.0,55.0,4.0,,,28.0,,-1.1,39.0,-1.5,-999.0,1.9
2025-09-04 14:00:00+09:00,,30.0,0.0,55.0,4.0,,,29.0,,-1.4,43.0,-1.6,-999.0,2.2
2025-09-04 15:00:00+09:00,,30.0,0.0,50.0,4.0,,,29.0,31.0,-1.4,41.0,-1.7,-999.0,2.3
2025-09-04 16:00:00+09:00,,30.0,0.0,55.0,4.0,,,29.0,,-1.5,47.0,-1.5,-999.0,2.2
2025-09-04 17:00:00+09:00,,30.0,0.0,55.0,4.0,,,29.0,,-1.3,47.0,-1.3,-999.0,1.9
2025-09-04 18:00:00+09:00,,0.0,0.0,60.0,1.0,,,28.0,,-0.9,59.0,-0.6,-999.0,1.2
