dt,adm_cd2,adm_nm,nx,ny,PCP,POP,PTY,REH,SKY,SNO,TMN,TMP,TMX,UUU,VEC,VVV,WAV,WSD
2025-09-01 01:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,90.0,4.0,,,27.0,,0.0,177.0,2.0,-999.0,2.0
2025-09-01 02:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,90.0,4.0,,,26.0,,0.0,177.0,1.7,-999.0,1.7
2025-09-01 03:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,90.0,4.0,,,26.0,,0.2,187.0,1.7,-999.0,1.7
2025-09-01 04:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,90.0,4.0,,,26.0,,0.1,183.0,2.1,-999.0,2.1
2025-09-01 05:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,90.0,4.0,,,26.0,,-0.2,172.0,2.1,-999.0,2.1
2025-09-01 06:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,90.0,4.0,,23.0,26.0,,-0.4,170.0,2.7,-999.0,2.7
2025-09-01 07:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,90.0,4.0,,,26.0,,-0.1,176.0,3.0,-999.0,3.0
2025-09-01 08:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,90.0,4.0,,,26.0,,0.0,180.0,3.2,-999.0,3.2
2025-09-01 09:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,90.0,4.0,,,26.0,,0.6,190.0,3.3,-999.0,3.4
2025-09-01 10:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,90.0,4.0,,,27.0,,1.5,203.0,3.6,-999.0,3.9
2025-09-01 11:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,90.0,4.0,,,28.0,,1.6,203.0,3.8,-999.0,4.1
2025-09-01 12:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,90.0,4.0,,,28.0,,1.9,204.0,4.2,-999.0,4.6
2025-09-01 13:00:00+09:00,1147064000,신정3동,57,125,,62.0,1.0,85.0,4.0,,,29.0,,4.6,228.0,4.2,-999.0,6.2
2025-09-01 14:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,80.0,4.0,,,29.0,,2.1,229.0,1.8,-999.0,2.8
2025-09-01 15:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,80.0,4.0,,,29.0,30.0,2.1,226.0,2.0,-999.0,2.9
2025-09-01 16:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,75.0,4.0,,,29.0,,2.5,229.0,2.2,-999.0,3.3
2025-09-01 17:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,70.0,4.0,,,29.0,,2.8,239.0,1.7,-999.0,3.3
2025-09-01 18:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,75.0,4.0,,,28.0,,2.4,243.0,1.2,-999.0,2.7
2025-09-01 19:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,80.0,4.0,,,28.0,,1.6,243.0,0.8,-999.0,1.8
2025-09-01 20:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,85.0,4.0,,,27.0,,1.1,234.0,0.8,-999.0,1.4
2025-09-01 21:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,85.0,4.0,,,26.0,,0.6,214.0,0.9,-999.0,1.1
2025-09-01 22:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,90.0,4.0,,,26.0,,0.1,186.0,1.0,-999.0,1.0
2025-09-01 23:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,90.0,4.0,,,25.0,,0.0,180.0,1.1,-999.0,1.1
2025-09-02 00:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,90.0,4.0,,,25.0,,0.1,186.0,0.9,-999.0,0.9
2025-09-02 03:00:00+09:00,1147064000,신정3동,57,125,0.0,30.0,0.0,95.0,4.0,0.0,,24.0,,0.4,270.0,0.0,-999.0,1.0
