dt,PCP,POP,PTY,REH,SKY,SNO,TMN,TMP,TMX,UUU,VEC,VVV,WAV,WSD
2025-08-30 15:00:00+09:00,,20.0,0.0,75.0,3.0,,,29.0,,3.1,247.0,1.3,-999.0,3.4
2025-08-30 16:00:00+09:00,,20.0,0.0,75.0,3.0,,,29.0,,3.1,243.0,1.6,-999.0,3.5
2025-08-30 17:00:00+09:00,,0.0,0.0,75.0,1.0,,,30.0,,3.2,245.0,1.5,-999.0,3.5
2025-08-30 18:00:00+09:00,,0.0,0.0,75.0,1.0,,,29.0,,2.5,243.0,1.3,-999.0,2.8
2025-08-30 19:00:00+09:00,,0.0,0.0,80.0,1.0,,,28.0,,1.6,253.0,0.5,-999.0,1.7
2025-08-30 20:00:00+09:00,,0.0,0.0,80.0,1.0,,,28.0,,0.8,256.0,0.2,-999.0,0.8
2025-08-30 21:00:00+09:00,,20.0,0.0,85.0,3.0,,,27.0,,0.5,259.0,0.1,-999.0,0.5
2025-08-30 22:00:00+09:00,,30.0,0.0,85.0,4.0,,,27.0,,0.4,233.0,0.3,-999.0,0.5
2025-08-30 23:00:00+09:00,,30.0,0.0,85.0,4.0,,,27.0,,0.3,207.0,0.6,-999.0,0.7
2025-08-31 00:00:00+09:00,,30.0,0.0,85.0,4.0,,,27.0,,0.1,188.0,0.7,-999.0,0.7
2025-08-31 01:00:00+09:00,,30.0,0.0,90.0,4.0,,,26.0,,0.0,172.0,0.7,-999.0,0.7
2025-08-31 02:00:00+09:00,,30.0,0.0,90.0,4.0,,,26.0,,0.0,171.0,0.6,-999.0,0.6
2025-08-31 03:00:00+09:00,,30.0,0.0,90.0,4.0,,,26.0,,-0.5,124.0,0.4,-999.0,0.7
2025-08-31 04:00:00+09:00,,30.0,0.0,90.0,4.0,,,26.0,,-0.8,128.0,0.7,-999.0,1.1
2025-08-31 05:00:00+09:00,,30.0,0.0,85.0,4.0,,,26.0,,-0.8,141.0,1.1,-999.0,1.4
