dt,PCP,POP,PTY,REH,SKY,SNO,TMN,TMP,TMX,UUU,VEC,VVV,WAV,WSD
2025-09-02 15:00:00+09:00,,0.0,0.0,50.0,1.0,,,32.0,,0.9,337.0,-2.1,-999.0,2.3
2025-09-02 16:00:00+09:00,,0.0,0.0,50.0,1.0,,,32.0,,0.6,345.0,-2.2,-999.0,2.3
2025-09-02 17:00:00+09:00,,0.0,0.0,60.0,1.0,,,31.0,,0.2,355.0,-2.1,-999.0,2.1
2025-09-02 18:00:00+09:00,,0.0,0.0,65.0,1.0,,,30.0,,0.2,353.0,-1.6,-999.0,1.6
2025-09-02 19:00:00+09:00,,0.0,0.0,75.0,1.0,,,28.0,,0.3,346.0,-1.2,-999.0,1.2
2025-09-02 20:00:00+09:00,,0.0,0.0,80.0,1.0,,,27.0,,-0.4,23.0,-1.2,-999.0,1.3
2025-09-02 21:00:00+09:00,,0.0,0.0,85.0,1.0,,,27.0,,-1.0,75.0,-0.3,-999.0,1.1
2025-09-02 22:00:00+09:00,,0.0,0.0,90.0,1.0,,,26.0,,-1.4,75.0,-0.4,-999.0,1.6
2025-09-02 23:00:00+09:00,,0.0,0.0,90.0,1.0,,,25.0,,-1.8,78.0,-0.4,-999.0,1.9
2025-09-03 00:00:00+09:00,,0.0,0.0,90.0,1.0,,,25.0,,-2.1,80.0,-0.4,-999.0,2.2
2025-09-03 01:00:00+09:00,,0.0,0.0,90.0,1.0,,,24.0,,-1.7,96.0,0.2,-999.0,1.8
2025-09-03 02:00:00+09:00,,0.0,0.0,95.0,1.0,,,24.0,,-1.6,103.0,0.4,-999.0,1.7
2025-09-03 03:00:00+09:00,,0.0,0.0,95.0,1.0,,,24.0,,-1.6,100.0,0.3,-999.0,1.7
2025-09-03 04:00:00+09:00,,0.0,0.0,95.0,1.0,,,24.0,,-1.1,76.0,-0.3,-999.0,1.2
2025-09-03 05:00:00+09:00,,0.0,0.0,95.0,1.0,,,23.0,,-1.1,76.0,-0.3,-999.0,1.2
2025-09-03 06:00:00+09:00,,0.0,0.0,95.0,1.0,,22.0,23.0,,-1.3,78.0,-0.3,-999.0,1.4
2025-09-03 07:00:00+09:00,,0.0,0.0,95.0,1.0,,,24.0,,-1.7,90.0,0.0,-999.0,1.8
2025-09-03 08:00:00+09:00,,0.0,0.0,80.0,1.0,,,25.0,,-2.1,90.0,0.0,-999.0,2.2
2025-09-03 09:00:00+09:00,,0.0,0.0,70.0,1.0,,,27.0,,-2.4,92.0,0.1,-999.0,2.5
2025-09-03 10:00:00+09:00,,0.0,0.0,60.0,1.0,,,29.0,,-2.2,97.0,0.3,-999.0,2.3
2025-09-03 11:00:00+09:00,,20.0,0.0,50.0,3.0,,,31.0,,-1.8,90.0,0.0,-999.0,1.9
2025-09-03 12:00:00+09:00,,20.0,0.0,45.0,3.0,,,32.0,,-2.0,98.0,0.3,-999.0,2.1
2025-09-03 13:00:00+09:00,,20.0,0.0,45.0,3.0,,,33.0,,-2.1,105.0,0.6,-999.0,2.3
2025-09-03 14:00:00+09:00,,20.0,0.0,45.0,3.0,,,33.0,,-1.9,121.0,1.2,-999.0,2.3
2025-09-03 15:00:00+09:00,,20.0,0.0,45.0,3.0,,,33.0,34.0,-0.8,145.0,1.3,-999.0,1.6
2025-09-03 16:00:00+09:00,,20.0,0.0,50.0,3.0,,,32.0,,-0.9,148.0,1.6,-999.0,1.9
2025-09-03 17:00:00+09:00,,20.0,0.0,60.0,3.0,,,31.0,,-0.3,164.0,1.4,-999.0,1.5
2025-09-03 18:00:00+09:00,,20.0,0.0,65.0,3.0,,,30.0,,0.7,225.0,0.7,-999.0,1.0
2025-09-03 19:00:00+09:00,,30.0,0.0,70.0,4.0,,,29.0,,0.5,231.0,0.4,-999.0,0.6
2025-09-03 20:00:00+09:00,,30.0,0.0,75.0,4.0,,,29.0,,0.3,211.0,0.5,-999.0,0.6
2025-09-03 21:00:00+09:00,,30.0,0.0,75.0,4.0,,,29.0,,0.5,239.0,0.3,-999.0,0.6
2025-09-03 22:00:00+09:00,,30.0,0.0,80.0,4.0,,,27.0,,-0.1,146.0,0.3,-999.0,0.4
2025-09-03 23:00:00+09:00,,30.0,0.0,85.0,4.0,,,27.0,,-0.8,119.0,0.5,-999.0,1.0
2025-09-04 00:00:00+09:00,,30.0,0.0,85.0,4.0,,,26.0,,-1.2,111.0,0.5,-999.0,1.4
2025-09-04 01:00:00+09:00,,30.0,0.0,90.0,4.0,,,26.0,,-1.8,90.0,0.0,-999.0,1.9
2025-09-04 02:00:00+09:00,,30.0,0.0,90.0,4.0,,,25.0,,-1.5,79.0,-0.3,-999.0,1.6
2025-09-04 03:00:00+09:00,,60.0,1.0,90.0,4.0,,,25.0,,-1.3,78.0,-0.3,-999.0,1.4
2025-09-04 04:00:00+09:00,,60.0,1.0,90.0,4.0,,,25.0,,-1.5,83.0,-0.2,-999.0,1.6
2025-09-04 05:00:00+09:00,,60.0,1.0,90.0,4.0,,,24.0,,-1.2,77.0,-0.3,-999.0,1.3
2025-09-04 06:00:00+09:00,,60.0,1.0,90.0,4.0,,23.0,24.0,,-1.1,63.0,-0.6,-999.0,1.3
2025-09-04 07:00:00+09:00,,60.0,1.0,90.0,4.0,,,24.0,,-1.5,73.0,-0.5,-999.0,1.7
2025-09-04 08:00:00+09:00,,60.0,1.0,90.0,4.0,,,24.0,,-1.7,81.0,-0.3,-999.0,1.8
2025-09-04 09:00:00+09:00,,30.0,0.0,85.0,4.0,,,25.0,,-1.6,87.0,-0.1,-999.0,1.7
2025-09-04 10:00:00+09:00,,60.0,1.0,85.0,4.0,,,25.0,,-1.1,60.0,-0.7,-999.0,1.4
2025-09-04 11:00:00+09:00,,30.0,0.0,70.0,4.0,,,27.0,,-0.1,7.0,-1.7,-999.0,1.7
2025-09-04 12:00:00+09:00,,30.0,0.0,65.0,4.0,,,28.0,,0.2,355.0,-2.3,-999.0,2.3
2025-09-04 13:00:00+09:00,,30.0,0.0,55.0,4.0,,,30.0,,0.5,349.0,-2.6,-999.0,2.6
2025-09-04 14:00:00+09:00,,30.0,0.0,55.0,4.0,,,30.0,,0.0,360.0,-2.8,-999.0,2.8
2025-09-04 15:00:00+09:00,,30.0,0.0,55.0,4.0,,,30.0,31.0,0.3,354.0,-3.0,-999.0,3.0
2025-09-04 16:00:00+09:00,,30.0,0.0,55.0,4.0,,,30.0,,0.5,351.0,-3.1,-999.0,3.1
2025-09-04 17:00:00+09:00,,30.0,0.0,60.0,4.0,,,30.0,,0.8,346.0,-3.1,-999.0,3.2
2025-09-04 18:00:00+09:00,,0.0,0.0,65.0,1.0,,,29.0,,0.9,340.0,-2.5,-999.0,2.7
